Êמה ןנטולא;Êמכטקוסעגמ;Äאעא המךףלוםעא;Âûסעאגמקםûי ןףעü;Ïמהתוחהםמי ןףעü
019/לנ182;172;21.05.2019;21.05.2019;21.05.2019
019/לנ183;173;21.05.2019;22.05.2019;22.05.2019
019/לנ184;174;01.05.2019;01.05.2019;01.05.2019
019/לנ185;175;21.05.2019;22.05.2019;22.05.2019
019/לנ186;176;15.05.2019;15.05.2019;15.05.2019
019/לנ187;177;20.05.2019;20.05.2019;20.05.2019
019/לנ188;178;21.05.2019;22.05.2019;21.05.2019
019/לנ189;179;21.05.2019;21.05.2019;21.05.2019
019/לנ190;180;21.05.2019;21.05.2019;21.05.2019
019/לנ191;181;21.05.2019;22.05.2019;22.05.2019
019/לנ192;182;21.05.2019;21.05.2019;21.05.2019
019/לנ193;183;21.05.2019;21.05.2019;21.05.2019
019/לנ194;184;21.05.2019;22.05.2019;21.05.2019
019/לנ195;185;21.05.2019;21.05.2019;21.05.2019
019/לנ196;186;04.03.2019;13.03.2019;13.03.2019
019/לנ197;187;20.05.2019;20.05.2019;20.05.2019
019/לנ198;188;30.04.2019;21.05.2019;21.05.2019
019/לנ199;189;19.05.2019;22.05.2019;22.05.2019
019/לנ200;190;18.05.2019;18.05.2019;18.05.2019
019/לנ201;191;21.05.2019;22.05.2019;21.05.2019
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
